text,crime
I received a fake SMS claiming to be from my bank asking for OTP for ₹10000 refund This happened while I was in Pune.,phishing
A message said my KYC is incomplete and provided a suspicious link,phishing
He used my photos to open a Facebook account without permission,impersonation
He follows me on every social media platform and comments on everything This happened while I was in Kolkata.,stalking
He keeps asking for payment and threatens to ruin my reputation,extortion
Someone threatened to leak my private photos unless I paid ₹10000,extortion
He demanded money to return my hacked social media account,extortion
He is blackmailing me using my personal chats and demanding money This happened while I was in Kolkata.,extortion
He follows me on every social media platform and comments on everything This happened while I was in Pune.,stalking
A fake WhatsApp account was created in my name asking for money,impersonation
He constantly monitors my stories and reacts to each one in a creepy way This happened while I was in Kolkata.,stalking
He is posing as me and sending messages to my relatives This happened while I was in Chennai.,impersonation
He created a fake profile using my name and photos,impersonation
My online game account was hacked and all items were taken This happened while I was in Mumbai.,hacking
He demanded money to return my hacked social media account This happened while I was in Chennai.,extortion
He took money online for ticket booking and never sent any ticket,fraud
He is posing as me and sending messages to my relatives,impersonation
My my Netflix account was accessed from a different location and I was locked out,hacking
He keeps body shaming me online and uses bad words,harassment
He insults and humiliates me in group chats repeatedly This happened while I was in Jaipur.,harassment
He demanded money to return my hacked social media account,extortion
He took money online for ticket booking and never sent any ticket,fraud
He promised a job and took ₹5000 as registration fee but disappeared,fraud
He insults and humiliates me in group chats repeatedly This happened while I was in Mumbai.,harassment
He keeps body shaming me online and uses bad words This happened while I was in Chennai.,harassment
He tricked me into sending ₹15000 for a fake product and then blocked me This happened while I was in Jaipur.,fraud
He constantly monitors my stories and reacts to each one in a creepy way,stalking
He keeps asking for payment and threatens to ruin my reputation This happened while I was in Kolkata.,extortion
He demanded money to return my hacked social media account,extortion
He demanded money to return my hacked social media account,extortion
He promised a job and took ₹5000 as registration fee but disappeared,fraud
Someone threatened to leak my private photos unless I paid ₹8000,extortion
He used my photos to open a Facebook account without permission,impersonation
He said he will post my videos online if I do not send money,extortion
Someone threatened to leak my private photos unless I paid ₹10000,extortion
He posts obscene comments on my social media photos,harassment
An email pretending to be from a courier service asked me to click a link to pay charges,phishing
My my Gmail account was accessed from a different location and I was locked out,hacking
He took money online for ticket booking and never sent any ticket,fraud
A fake investment scheme cheated me and my money is gone This happened while I was in Chennai.,fraud
He keeps asking personal questions and does not stop even after warnings This happened while I was in Bengaluru.,stalking
"A so-called baba promised to solve my problems, took money online and then stopped responding",fraud
"A so-called baba promised to solve my problems, took money online and then stopped responding",fraud
He said he will post my videos online if I do not send money,extortion
He is posing as me and sending messages to my relatives,impersonation
He constantly monitors my stories and reacts to each one in a creepy way This happened while I was in Delhi.,stalking
He created a fake profile using my name and photos,impersonation
He promised a job and took ₹15000 as registration fee but disappeared,fraud
I got a WhatsApp message saying I won a lottery and must pay a processing fee,phishing
He created a fake profile using my name and photos This happened while I was in Bengaluru.,impersonation
He constantly monitors my stories and reacts to each one in a creepy way,stalking
A message said my KYC is incomplete and provided a suspicious link,phishing
My my Twitter account was accessed from a different location and I was locked out This happened while I was in Bengaluru.,hacking
He posts obscene comments on my social media photos,harassment
Someone is pretending to be me on Instagram and messaging my friends,impersonation
He is blackmailing me using my personal chats and demanding money,extortion
He keeps messaging me even after I blocked him several times,stalking
A fake WhatsApp account was created in my name asking for money This happened while I was in Kolkata.,impersonation
He tracks my online status and messages me whenever I come online,stalking
He tracks my online status and messages me whenever I come online This happened while I was in Bengaluru.,stalking
He tricked me into sending ₹10000 for a fake product and then blocked me,fraud
He posts obscene comments on my social media photos,harassment
He is blackmailing me using my personal chats and demanding money This happened while I was in Kolkata.,extortion
He insults and humiliates me in group chats repeatedly,harassment
He keeps body shaming me online and uses bad words This happened while I was in Delhi.,harassment
He used my photos to open a Facebook account without permission This happened while I was in Chennai.,impersonation
He demanded money to return my hacked social media account,extortion
He tracks my online status and messages me whenever I come online This happened while I was in Pune.,stalking
I received a fake SMS claiming to be from my bank asking for OTP for ₹10000 refund This happened while I was in Kolkata.,phishing
He said he will post my videos online if I do not send money,extortion
He is posing as me and sending messages to my relatives This happened while I was in Pune.,impersonation
Someone threatened to leak my private photos unless I paid ₹2000 This happened while I was in Delhi.,extortion
I received a fake SMS claiming to be from my bank asking for OTP for ₹25000 refund This happened while I was in Mumbai.,phishing
He constantly monitors my stories and reacts to each one in a creepy way,stalking
He tricked me into sending ₹8000 for a fake product and then blocked me,fraud
He spreads false rumours about me in online groups,harassment
He keeps body shaming me online and uses bad words,harassment
He keeps asking for payment and threatens to ruin my reputation This happened while I was in Bengaluru.,extortion
He sends abusive and vulgar messages to me every day,harassment
He posts obscene comments on my social media photos This happened while I was in Kolkata.,harassment
He promised a job and took ₹25000 as registration fee but disappeared This happened while I was in Kolkata.,fraud
He tricked me into sending ₹10000 for a fake product and then blocked me This happened while I was in Jaipur.,fraud
He is posing as me and sending messages to my relatives,impersonation
Someone is pretending to be me on Instagram and messaging my friends,impersonation
He insults and humiliates me in group chats repeatedly,harassment
He insults and humiliates me in group chats repeatedly,harassment
A message said my KYC is incomplete and provided a suspicious link This happened while I was in Pune.,phishing
An email pretending to be from a courier service asked me to click a link to pay charges,phishing
He promised a job and took ₹2000 as registration fee but disappeared,fraud
He keeps messaging me even after I blocked him several times,stalking
Unknown person logged into my bank account without permission,hacking
He keeps messaging me even after I blocked him several times This happened while I was in Jaipur.,stalking
He insults and humiliates me in group chats repeatedly,harassment
Someone hacked my phone and changed the password This happened while I was in Bengaluru.,hacking
He follows me on every social media platform and comments on everything,stalking
He insults and humiliates me in group chats repeatedly,harassment
He spreads false rumours about me in online groups This happened while I was in Chennai.,harassment
Someone is pretending to be me on Instagram and messaging my friends,impersonation
Someone threatened to leak my private photos unless I paid ₹10000,extortion
A fake investment scheme cheated me and my money is gone,fraud
He promised a job and took ₹2000 as registration fee but disappeared,fraud
I got a WhatsApp message saying I won a lottery and must pay a processing fee This happened while I was in Jaipur.,phishing
He insults and humiliates me in group chats repeatedly This happened while I was in Pune.,harassment
He said he will post my videos online if I do not send money,extortion
My online game account was hacked and all items were taken,hacking
He posts obscene comments on my social media photos,harassment
He keeps asking for payment and threatens to ruin my reputation,extortion
He said he will post my videos online if I do not send money,extortion
He tricked me into sending ₹15000 for a fake product and then blocked me This happened while I was in Mumbai.,fraud
He keeps messaging me even after I blocked him several times,stalking
He keeps asking for payment and threatens to ruin my reputation,extortion
Someone hacked my Facebook account and changed the password,hacking
He is posing as me and sending messages to my relatives This happened while I was in Kolkata.,impersonation
He insults and humiliates me in group chats repeatedly,harassment
Malware was installed on my phone and my data was stolen This happened while I was in Bengaluru.,hacking
Someone hacked my bank account and changed the password This happened while I was in Delhi.,hacking
He keeps body shaming me online and uses bad words,harassment
Someone threatened to leak my private photos unless I paid ₹25000 This happened while I was in Mumbai.,extortion
My my Twitter account was accessed from a different location and I was locked out This happened while I was in Delhi.,hacking
Malware was installed on my laptop and my data was stolen,hacking
My online game account was hacked and all items were taken,hacking
He keeps body shaming me online and uses bad words This happened while I was in Kolkata.,harassment
He keeps body shaming me online and uses bad words,harassment
He created a fake profile using my name and photos This happened while I was in Mumbai.,impersonation
He said he will post my videos online if I do not send money,extortion
Malware was installed on my laptop and my data was stolen,hacking
He tricked me into sending ₹10000 for a fake product and then blocked me,fraud
A fake customer care number asked me to share card details over call,phishing
A fake investment scheme cheated me and my money is gone,fraud
He demanded money to return my hacked social media account This happened while I was in Mumbai.,extortion
He is blackmailing me using my personal chats and demanding money,extortion
I got a WhatsApp message saying I won a lottery and must pay a processing fee,phishing
He said he will post my videos online if I do not send money,extortion
Unknown person logged into my Paytm account without permission This happened while I was in Jaipur.,hacking
He is blackmailing me using my personal chats and demanding money,extortion
A fake WhatsApp account was created in my name asking for money,impersonation
He is posing as me and sending messages to my relatives,impersonation
He insults and humiliates me in group chats repeatedly This happened while I was in Jaipur.,harassment
He keeps asking for payment and threatens to ruin my reputation This happened while I was in Jaipur.,extortion
He tricked me into sending ₹5000 for a fake product and then blocked me,fraud
He insults and humiliates me in group chats repeatedly,harassment
I received a fake SMS claiming to be from my bank asking for OTP for ₹2000 refund This happened while I was in Chennai.,phishing
"A so-called baba promised to solve my problems, took money online and then stopped responding",fraud
A fake investment scheme cheated me and my money is gone,fraud
He keeps asking personal questions and does not stop even after warnings This happened while I was in Delhi.,stalking
My online game account was hacked and all items were taken,hacking
He constantly monitors my stories and reacts to each one in a creepy way This happened while I was in Chennai.,stalking
He keeps asking for payment and threatens to ruin my reputation This happened while I was in Mumbai.,extortion
He spreads false rumours about me in online groups This happened while I was in Pune.,harassment
I got a WhatsApp message saying I won a lottery and must pay a processing fee This happened while I was in Mumbai.,phishing
He is blackmailing me using my personal chats and demanding money,extortion
He used my photos to open a Facebook account without permission,impersonation
He used my photos to open a Facebook account without permission,impersonation
He sends abusive and vulgar messages to me every day This happened while I was in Delhi.,harassment
A fake WhatsApp account was created in my name asking for money,impersonation
He keeps body shaming me online and uses bad words,harassment
He sends abusive and vulgar messages to me every day This happened while I was in Chennai.,harassment
He constantly monitors my stories and reacts to each one in a creepy way,stalking
A fake customer care number asked me to share card details over call This happened while I was in Pune.,phishing
He sends abusive and vulgar messages to me every day This happened while I was in Mumbai.,harassment
He sends abusive and vulgar messages to me every day This happened while I was in Chennai.,harassment
Unknown person logged into my Twitter account without permission,hacking
He insults and humiliates me in group chats repeatedly This happened while I was in Chennai.,harassment
A fake customer care number asked me to share card details over call,phishing
A message said my KYC is incomplete and provided a suspicious link,phishing
He keeps messaging me even after I blocked him several times,stalking
He tricked me into sending ₹5000 for a fake product and then blocked me This happened while I was in Kolkata.,fraud
Someone threatened to leak my private photos unless I paid ₹8000,extortion
I received a fake SMS claiming to be from my bank asking for OTP for ₹8000 refund This happened while I was in Pune.,phishing
A fake customer care number asked me to share card details over call This happened while I was in Delhi.,phishing
"A so-called baba promised to solve my problems, took money online and then stopped responding",fraud
He follows me on every social media platform and comments on everything This happened while I was in Mumbai.,stalking
A fake investment scheme cheated me and my money is gone,fraud
Unknown person logged into my Paytm account without permission,hacking
He keeps messaging me even after I blocked him several times This happened while I was in Bengaluru.,stalking
He is posing as me and sending messages to my relatives This happened while I was in Bengaluru.,impersonation
A message said my KYC is incomplete and provided a suspicious link,phishing
He keeps body shaming me online and uses bad words This happened while I was in Pune.,harassment
He took money online for ticket booking and never sent any ticket This happened while I was in Delhi.,fraud
He keeps asking personal questions and does not stop even after warnings,stalking
He insults and humiliates me in group chats repeatedly This happened while I was in Jaipur.,harassment
A message said my KYC is incomplete and provided a suspicious link This happened while I was in Kolkata.,phishing
Unknown person logged into my Gmail account without permission,hacking
He constantly monitors my stories and reacts to each one in a creepy way,stalking
I got a WhatsApp message saying I won a lottery and must pay a processing fee,phishing
I got a WhatsApp message saying I won a lottery and must pay a processing fee This happened while I was in Delhi.,phishing
I got a WhatsApp message saying I won a lottery and must pay a processing fee This happened while I was in Delhi.,phishing
He spreads false rumours about me in online groups This happened while I was in Bengaluru.,harassment
He created a fake profile using my name and photos,impersonation
A fake customer care number asked me to share card details over call This happened while I was in Kolkata.,phishing
He tracks my online status and messages me whenever I come online This happened while I was in Bengaluru.,stalking
An email pretending to be from a courier service asked me to click a link to pay charges,phishing
He keeps messaging me even after I blocked him several times This happened while I was in Chennai.,stalking
He constantly monitors my stories and reacts to each one in a creepy way This happened while I was in Jaipur.,stalking
I received a fake SMS claiming to be from my bank asking for OTP for ₹2000 refund,phishing
He keeps asking personal questions and does not stop even after warnings,stalking
A fake investment scheme cheated me and my money is gone,fraud
Malware was installed on my phone and my data was stolen,hacking
He tricked me into sending ₹8000 for a fake product and then blocked me This happened while I was in Mumbai.,fraud
I received a fake SMS claiming to be from my bank asking for OTP for ₹15000 refund,phishing
He is posing as me and sending messages to my relatives,impersonation
He promised a job and took ₹4000 as registration fee but disappeared,fraud
He is posing as me and sending messages to my relatives,impersonation
He keeps asking personal questions and does not stop even after warnings,stalking
He sends abusive and vulgar messages to me every day,harassment
He follows me on every social media platform and comments on everything This happened while I was in Chennai.,stalking
Someone hacked my laptop and changed the password,hacking
Someone threatened to leak my private photos unless I paid ₹8000,extortion
He tracks my online status and messages me whenever I come online This happened while I was in Mumbai.,stalking
He tracks my online status and messages me whenever I come online,stalking
My online game account was hacked and all items were taken,hacking
A fake investment scheme cheated me and my money is gone This happened while I was in Jaipur.,fraud
He is posing as me and sending messages to my relatives,impersonation
He is blackmailing me using my personal chats and demanding money,extortion
He follows me on every social media platform and comments on everything,stalking
He insults and humiliates me in group chats repeatedly,harassment
A fake WhatsApp account was created in my name asking for money,impersonation
He is blackmailing me using my personal chats and demanding money This happened while I was in Pune.,extortion
I got a WhatsApp message saying I won a lottery and must pay a processing fee,phishing
Someone threatened to leak my private photos unless I paid ₹15000,extortion
He is posing as me and sending messages to my relatives This happened while I was in Mumbai.,impersonation
My online game account was hacked and all items were taken This happened while I was in Bengaluru.,hacking
I got a WhatsApp message saying I won a lottery and must pay a processing fee This happened while I was in Kolkata.,phishing
He posts obscene comments on my social media photos,harassment
He keeps messaging me even after I blocked him several times This happened while I was in Pune.,stalking
He follows me on every social media platform and comments on everything This happened while I was in Bengaluru.,stalking
A fake WhatsApp account was created in my name asking for money,impersonation
He keeps asking personal questions and does not stop even after warnings,stalking
A message said my KYC is incomplete and provided a suspicious link This happened while I was in Chennai.,phishing
A fake customer care number asked me to share card details over call This happened while I was in Chennai.,phishing
He is posing as me and sending messages to my relatives,impersonation
A message said my KYC is incomplete and provided a suspicious link,phishing
He tracks my online status and messages me whenever I come online,stalking
Someone hacked my Facebook account and changed the password,hacking
He posts obscene comments on my social media photos This happened while I was in Bengaluru.,harassment
He insults and humiliates me in group chats repeatedly,harassment
Someone threatened to leak my private photos unless I paid ₹25000,extortion
He is blackmailing me using my personal chats and demanding money This happened while I was in Kolkata.,extortion
A fake customer care number asked me to share card details over call This happened while I was in Jaipur.,phishing
He sends abusive and vulgar messages to me every day This happened while I was in Pune.,harassment
He took money online for ticket booking and never sent any ticket,fraud
He created a fake profile using my name and photos,impersonation
A fake investment scheme cheated me and my money is gone,fraud
A fake WhatsApp account was created in my name asking for money,impersonation
He promised a job and took ₹8000 as registration fee but disappeared,fraud
Someone hacked my Instagram account and changed the password,hacking
A fake investment scheme cheated me and my money is gone,fraud
A fake WhatsApp account was created in my name asking for money This happened while I was in Jaipur.,impersonation
He took money online for ticket booking and never sent any ticket,fraud
Someone is pretending to be me on Instagram and messaging my friends,impersonation
A fake customer care number asked me to share card details over call,phishing
Someone is pretending to be me on Instagram and messaging my friends,impersonation
He spreads false rumours about me in online groups,harassment
A fake investment scheme cheated me and my money is gone,fraud
A fake customer care number asked me to share card details over call,phishing
He tricked me into sending ₹10000 for a fake product and then blocked me This happened while I was in Pune.,fraud
He promised a job and took ₹15000 as registration fee but disappeared,fraud
He created a fake profile using my name and photos This happened while I was in Jaipur.,impersonation
My online game account was hacked and all items were taken This happened while I was in Kolkata.,hacking
He is blackmailing me using my personal chats and demanding money This happened while I was in Chennai.,extortion
He posts obscene comments on my social media photos This happened while I was in Mumbai.,harassment
He keeps body shaming me online and uses bad words,harassment
Someone hacked my Netflix account and changed the password This happened while I was in Pune.,hacking
He took money online for ticket booking and never sent any ticket This happened while I was in Chennai.,fraud
Malware was installed on my laptop and my data was stolen This happened while I was in Chennai.,hacking
I received a fake SMS claiming to be from my bank asking for OTP for ₹25000 refund This happened while I was in Mumbai.,phishing
A fake investment scheme cheated me and my money is gone,fraud
He said he will post my videos online if I do not send money,extortion
He keeps body shaming me online and uses bad words,harassment
My online game account was hacked and all items were taken,hacking
My my Twitter account was accessed from a different location and I was locked out,hacking
He keeps messaging me even after I blocked him several times,stalking
He sends abusive and vulgar messages to me every day This happened while I was in Mumbai.,harassment
He created a fake profile using my name and photos This happened while I was in Bengaluru.,impersonation
Someone is pretending to be me on Instagram and messaging my friends This happened while I was in Kolkata.,impersonation
He keeps asking personal questions and does not stop even after warnings This happened while I was in Kolkata.,stalking
Someone is pretending to be me on Instagram and messaging my friends This happened while I was in Jaipur.,impersonation
My my Paytm account was accessed from a different location and I was locked out,hacking
He spreads false rumours about me in online groups,harassment
He is blackmailing me using my personal chats and demanding money,extortion
A fake customer care number asked me to share card details over call,phishing
He is blackmailing me using my personal chats and demanding money,extortion
An email pretending to be from a courier service asked me to click a link to pay charges,phishing
A fake investment scheme cheated me and my money is gone,fraud
Someone hacked my laptop and changed the password,hacking
"A so-called baba promised to solve my problems, took money online and then stopped responding",fraud
Unknown person logged into my Netflix account without permission,hacking
I got a WhatsApp message saying I won a lottery and must pay a processing fee,phishing
He keeps asking for payment and threatens to ruin my reputation This happened while I was in Chennai.,extortion
He is posing as me and sending messages to my relatives,impersonation
He demanded money to return my hacked social media account This happened while I was in Mumbai.,extortion
He is posing as me and sending messages to my relatives,impersonation
A fake investment scheme cheated me and my money is gone This happened while I was in Pune.,fraud
He tricked me into sending ₹8000 for a fake product and then blocked me This happened while I was in Mumbai.,fraud
An email pretending to be from a courier service asked me to click a link to pay charges,phishing
He is posing as me and sending messages to my relatives,impersonation
He keeps messaging me even after I blocked him several times,stalking
He created a fake profile using my name and photos,impersonation
He took money online for ticket booking and never sent any ticket,fraud
He said he will post my videos online if I do not send money,extortion
Malware was installed on my phone and my data was stolen,hacking
He keeps asking for payment and threatens to ruin my reputation,extortion
He is posing as me and sending messages to my relatives,impersonation
He created a fake profile using my name and photos,impersonation
A message said my KYC is incomplete and provided a suspicious link,phishing
He sends abusive and vulgar messages to me every day,harassment
An email pretending to be from a courier service asked me to click a link to pay charges This happened while I was in Bengaluru.,phishing
He keeps asking personal questions and does not stop even after warnings,stalking
He said he will post my videos online if I do not send money,extortion
He demanded money to return my hacked social media account This happened while I was in Delhi.,extortion
He took money online for ticket booking and never sent any ticket,fraud
He is blackmailing me using my personal chats and demanding money,extortion
Malware was installed on my phone and my data was stolen,hacking
He tricked me into sending ₹8000 for a fake product and then blocked me,fraud
A fake WhatsApp account was created in my name asking for money,impersonation
He tracks my online status and messages me whenever I come online,stalking
Someone hacked my bank account and changed the password,hacking
A message said my KYC is incomplete and provided a suspicious link,phishing
I received a fake SMS claiming to be from my bank asking for OTP for ₹5000 refund,phishing
He keeps asking personal questions and does not stop even after warnings,stalking
A fake customer care number asked me to share card details over call,phishing
He tricked me into sending ₹25000 for a fake product and then blocked me,fraud
He is blackmailing me using my personal chats and demanding money,extortion
I got a WhatsApp message saying I won a lottery and must pay a processing fee,phishing
He tricked me into sending ₹8000 for a fake product and then blocked me,fraud
He demanded money to return my hacked social media account,extortion
He is posing as me and sending messages to my relatives,impersonation
He used my photos to open a Facebook account without permission,impersonation
He is blackmailing me using my personal chats and demanding money,extortion
Someone hacked my Gmail account and changed the password,hacking
